,tweet_text,user_screen_name,user_name,user_location,user_followers_count,user_friends_count,user_listed_count,user_favourites_count,tweet_created_at,tweet_id,tweet_source,tweet_lang,tweet_quote_count,tweet_reply_count,tweet_retweet_count,tweet_favorite_count,source_tweet_text,is_retweet,source_user_screen_name,source_user_name,source_user_location,source_user_followers_count,source_user_friends_count,source_user_listed_count,source_user_favourites_count,source_tweet_created_at,source_tweet_id,source_tweet_source,source_tweet_lang,source_tweet_quote_count,source_tweet_reply_count,source_tweet_retweet_count,source_tweet_favorite_count
891,"also sealed semicolon, minisode. treasure chap 2&amp;3 kung may interested",OneInAMillionPH,OIAMPH,JYPE Building,2500,35,15,3239,Fri Jan 22 06:46:02 +0000 2021,1352507798911815681,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,0,0,0,0,,False,,,,,,,,,,,,,,,
892,RT @intorevezkdlin: awwwww reveluvs the velvets are going to break blackpink's record with longest hiatus soon awwwwwwww ,big_secrett,MAAF SPAM,Democratic People's Republic o,377,393,1,6662,Fri Jan 22 06:46:02 +0000 2021,1352507800732147712,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0,awwwww reveluvs the velvets are going to break blackpink's record with longest hiatus soon awwwwwwww ,True,intorevezkdlin,,  | she/her,1170.0,1169.0,5.0,19261.0,Fri Jan 22 05:29:51 +0000 2021,1.3524886273185792e+18,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,26.0,4.0,32.0,175.0
893,"RT @BLACKPINK_PH: BPPH &amp; LOVELISA PH - LISA PHOTOBOOK 0327 GROUP ORDER

P1,300+LSF

KTOWN4U Inclusions
Freebies from us

Order now: https:",Ktown4u_com,ktown4u_com,"Seoul, Korea",45296,12,66,1078,Fri Jan 22 06:46:03 +0000 2021,1352507802942545920,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,0,0,0,0,"BPPH &amp; LOVELISA PH - LISA PHOTOBOOK 0327 GROUP ORDER

P1,300+LSF

KTOWN4U Inclusions
Freebies from us

Order now: https://t.co/xXniHKEmiT

***Limited Edition Copies, avail now before it solds out. All profits will go to LS1 Funds!

@BLACKPINK @ygofficialblink @LoveLISA_PH https://t.co/9DrGNqOcWE",True,BLACKPINK_PH,BLACKPINK PH ,,129114.0,126.0,212.0,8732.0,Fri Jan 22 06:12:20 +0000 2021,1.35249932036531e+18,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,2.0,3.0,23.0,55.0
894,"RT @jichu_charts: Don't forget to buy #JISOO's Wkorea February 2021 Issue! 18 pages for JISOO 

Jisoo with @Dior Rogue Lipstick #999 is a",keeyanamilen,Keenedred,Metro Manila,4,52,0,544,Fri Jan 22 06:46:03 +0000 2021,1352507803194118147,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,0,0,0,0,"Don't forget to buy #JISOO's Wkorea February 2021 Issue! 18 pages for JISOO 

Jisoo with @Dior Rogue Lipstick #999 is also featured in @wkorea
She is also the FIRST Asian Celebrity promoting the #DiorSS21 collection on magazine cover.

# # # #BLACKPINK https://t.co/7RJlzFVt9Y https://t.co/fUmyZlzSog",True,jichu_charts, ,,37583.0,21.0,283.0,35.0,Fri Jan 22 06:00:57 +0000 2021,1.352496454431109e+18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,3.0,6.0,181.0,346.0
895,"RT @BP_Chartsk: Most subscribed Artists on YouTube:

#1 Justin Bieber 60.5M
#2 @BLACKPINK 56M
#3 Marshmello 51M
#4 Ed Sheeran 46.6M",BLINKformyPINKs,StreamHYLTto1B,,39,149,0,62960,Fri Jan 22 06:46:03 +0000 2021,1352507804041543682,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0,"Most subscribed Artists on YouTube:

#1 Justin Bieber 60.5M
#2 @BLACKPINK 56M
#3 Marshmello 51M
#4 Ed Sheeran 46.6M",True,BP_Chartsk,Kpop Charts,BLACKPINK,7767.0,387.0,17.0,1492.0,Fri Jan 22 01:46:40 +0000 2021,1.35243246264789e+18,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,53.0,14.0,923.0,4200.0
896,"RT @cyanblink: Lovesick Girls has now spent 110 days in the MelOn top 10, surpassing HYLT as the 2020 girl group song with the most days. I",arrowhearteu,mira,OT4 or nothing,69,127,3,1595,Fri Jan 22 06:46:03 +0000 2021,1352507804133670912,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,0,0,0,0,"Lovesick Girls has now spent 110 days in the MelOn top 10, surpassing HYLT as the 2020 girl group song with the most days. It's @Blackpink vs Blackpink again.",True,cyanblink,,,67570.0,123.0,214.0,10966.0,Fri Jan 22 04:02:57 +0000 2021,1.3524667577982116e+18,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,20.0,13.0,1043.0,3975.0
897,"RT @daveypinks: WTF? SHE LOOK HELLA HOT WITH THAT RED LIPSTICK ON, OH MY GOD!!  @BLACKPINK #JISOO https://t.co/xHmqgncXqH",lisamfml,,ot4,15,112,0,5781,Fri Jan 22 06:46:04 +0000 2021,1352507807891775489,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,0,0,0,0,"WTF? SHE LOOK HELLA HOT WITH THAT RED LIPSTICK ON, OH MY GOD!!  @BLACKPINK #JISOO https://t.co/xHmqgncXqH",True,daveypinks,,pinks,39177.0,553.0,133.0,16051.0,Fri Jan 22 05:51:04 +0000 2021,1.3524939659419853e+18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,57.0,9.0,1116.0,3034.0
898,"RT @ROSEVotingTeam: [NAVER]

Saint Laurent's surprising BlackPink Ros effect. How great is it?

https://t.co/HEersLnKDC

 React to artic",nvidiageforce7,prcious baby_ rosi. YSL QUEEN,,585,211,4,19117,Fri Jan 22 06:46:04 +0000 2021,1352507807979819010,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0,"[NAVER]

Saint Laurent's surprising BlackPink Ros effect. How great is it?

https://t.co/HEersLnKDC

 React to article using 1st emoji.
 Hit like  button to all positive comments about Ros. 

  # #ROS @BLACKPINK https://t.co/xxSOHTtfAZ",True,ROSEVotingTeam,ROS Voting Team,,8244.0,94.0,81.0,754.0,Fri Jan 22 06:43:45 +0000 2021,1.3525072249129165e+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,0.0,0.0,10.0,8.0
899,"RT @chartsblackpink: Lovesick Girls  3PM KST: 

#6 MelOn (=)
#7 FLO (=)
#8 Bugs (+6)
#13 Genie (+1)

@BLACKPINK",sourpermen, pufy kinda ia,he/him ,1682,1513,6,6847,Fri Jan 22 06:46:04 +0000 2021,1352507808399429634,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,0,0,0,0,"Lovesick Girls  3PM KST: 

#6 MelOn (=)
#7 FLO (=)
#8 Bugs (+6)
#13 Genie (+1)

@BLACKPINK",True,chartsblackpink,BLACKPINK Charts,THE ALBUM,311052.0,136.0,867.0,83.0,Fri Jan 22 06:05:17 +0000 2021,1.3524975454702346e+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,17.0,18.0,301.0,1053.0
900,RT @sexckjn: blackpink is the best with four members  Jennie https://t.co/tf0pijxjrp,jeanallysonL,Jean Allyson,,188,170,0,7934,Fri Jan 22 06:46:05 +0000 2021,1352507812375478274,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0,blackpink is the best with four members  Jennie https://t.co/tf0pijxjrp,True,sexckjn,,,5229.0,4391.0,10.0,19694.0,Fri Jan 22 01:10:41 +0000 2021,1.3524234054049219e+18,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,17.0,6.0,643.0,2549.0
901,RT @sexckjn: blackpink is the best with four members  Jennie https://t.co/tf0pijxjrp,shekihawthorn,sheki | always busy,not a jsl ,545,548,2,13061,Fri Jan 22 06:46:06 +0000 2021,1352507818159403008,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,0,0,0,0,blackpink is the best with four members  Jennie https://t.co/tf0pijxjrp,True,sexckjn,,,5229.0,4391.0,10.0,19694.0,Fri Jan 22 01:10:41 +0000 2021,1.3524234054049219e+18,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,17.0,6.0,644.0,2551.0
902,RT @daveypinks: HR impact is just undeniable! YSL really chose the best person who fits their brand so well that can leave an impact to ma,hoeofbeulping,AC,She/Her,447,442,0,8933,Fri Jan 22 06:46:06 +0000 2021,1352507818444607488,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0,"HR impact is just undeniable! YSL really chose the best person who fits their brand so well that can leave an impact to many! I can't wait for the impact that she'll for sure leave when it comes to music during her SOLO debut! 

THE ROS EFFECT
#ROS @BLACKPINK https://t.co/eEPcTVkiAN",True,daveypinks,,pinks,39177.0,553.0,133.0,16051.0,Fri Jan 22 06:43:05 +0000 2021,1.3525070553749545e+18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,4.0,33.0,104.0,200.0
